COMMUNITY_AREA,RACE,AGE,SEX,Count
ALBANY PARK,API,0-19,F,1
ALBANY PARK,API,0-19,M,1
ALBANY PARK,API,20-29,F,1
ALBANY PARK,API,20-29,M,3
ALBANY PARK,API,30-39,M,1
ALBANY PARK,API,50-59,M,1
ALBANY PARK,BLK,0-19,F,2
ALBANY PARK,BLK,0-19,M,11
ALBANY PARK,BLK,20-29,F,4
ALBANY PARK,BLK,20-29,M,18
ALBANY PARK,BLK,30-39,M,12
ALBANY PARK,BLK,40-49,M,2
ALBANY PARK,BLK,50-59,M,1
ALBANY PARK,BLK,60-69,F,1
ALBANY PARK,I,60-69,M,1
ALBANY PARK,UNKNOWN,0-19,M,1
ALBANY PARK,UNKNOWN,UNKNOWN,UNKNOWN,5
ALBANY PARK,WBH,0-19,M,2
ALBANY PARK,WBH,20-29,M,4
ALBANY PARK,WHI,0-19,M,4
ALBANY PARK,WHI,20-29,F,1
ALBANY PARK,WHI,20-29,M,10
ALBANY PARK,WHI,30-39,M,7
ALBANY PARK,WHI,40-49,M,3
ALBANY PARK,WHI,50-59,M,2
ALBANY PARK,WHI,70-79,M,1
ALBANY PARK,WWH,0-19,F,6
ALBANY PARK,WWH,0-19,M,37
ALBANY PARK,WWH,20-29,F,10
ALBANY PARK,WWH,20-29,M,65
ALBANY PARK,WWH,30-39,F,5
ALBANY PARK,WWH,30-39,M,16
ALBANY PARK,WWH,40-49,F,2
ALBANY PARK,WWH,40-49,M,1
ALBANY PARK,WWH,50-59,M,1
ARCHER HEIGHTS,BLK,0-19,M,2
ARCHER HEIGHTS,BLK,20-29,M,1
ARCHER HEIGHTS,BLK,30-39,M,1
ARCHER HEIGHTS,BLK,50-59,M,1
ARCHER HEIGHTS,UNKNOWN,20-29,M,2
ARCHER HEIGHTS,WBH,50-59,M,1
ARCHER HEIGHTS,WHI,20-29,F,1
ARCHER HEIGHTS,WHI,20-29,M,3
ARCHER HEIGHTS,WHI,30-39,M,1
ARCHER HEIGHTS,WHI,40-49,M,1
ARCHER HEIGHTS,WHI,50-59,F,1
ARCHER HEIGHTS,WWH,0-19,F,3
ARCHER HEIGHTS,WWH,0-19,M,22
ARCHER HEIGHTS,WWH,20-29,F,3
ARCHER HEIGHTS,WWH,20-29,M,42
ARCHER HEIGHTS,WWH,30-39,M,16
ARCHER HEIGHTS,WWH,40-49,M,3
ARCHER HEIGHTS,WWH,50-59,M,3
ARMOUR SQUARE,API,20-29,M,1
ARMOUR SQUARE,API,30-39,M,4
ARMOUR SQUARE,API,40-49,F,1
ARMOUR SQUARE,API,40-49,M,3
ARMOUR SQUARE,API,70-79,M,1
ARMOUR SQUARE,BLK,0-19,F,4
ARMOUR SQUARE,BLK,0-19,M,20
ARMOUR SQUARE,BLK,20-29,F,2
ARMOUR SQUARE,BLK,20-29,M,29
ARMOUR SQUARE,BLK,30-39,F,5
ARMOUR SQUARE,BLK,30-39,M,20
ARMOUR SQUARE,BLK,40-49,M,6
ARMOUR SQUARE,BLK,50-59,F,1
ARMOUR SQUARE,BLK,50-59,M,2
ARMOUR SQUARE,BLK,60-69,M,1
ARMOUR SQUARE,BLK,UNKNOWN,M,1
ARMOUR SQUARE,UNKNOWN,UNKNOWN,UNKNOWN,2
ARMOUR SQUARE,WBH,20-29,F,1
ARMOUR SQUARE,WHI,0-19,M,2
ARMOUR SQUARE,WHI,30-39,M,1
ARMOUR SQUARE,WHI,40-49,F,1
ARMOUR SQUARE,WHI,50-59,M,1
ARMOUR SQUARE,WWH,0-19,M,1
ARMOUR SQUARE,WWH,20-29,F,2
ARMOUR SQUARE,WWH,30-39,M,1
ARMOUR SQUARE,WWH,40-49,F,1
ARMOUR SQUARE,WWH,40-49,M,1
ARMOUR SQUARE,WWH,50-59,M,1
ASHBURN,BLK,0-19,F,5
ASHBURN,BLK,0-19,M,76
ASHBURN,BLK,20-29,F,10
ASHBURN,BLK,20-29,M,119
ASHBURN,BLK,30-39,F,3
ASHBURN,BLK,30-39,M,29
ASHBURN,BLK,40-49,F,1
ASHBURN,BLK,40-49,M,7
ASHBURN,BLK,50-59,F,3
ASHBURN,BLK,50-59,M,6
ASHBURN,UNKNOWN,0-19,UNKNOWN,1
ASHBURN,UNKNOWN,20-29,M,2
ASHBURN,UNKNOWN,40-49,M,1
ASHBURN,UNKNOWN,UNKNOWN,UNKNOWN,11
ASHBURN,WBH,20-29,M,1
ASHBURN,WHI,0-19,F,1
ASHBURN,WHI,0-19,M,5
ASHBURN,WHI,20-29,F,1
ASHBURN,WHI,20-29,M,5
ASHBURN,WHI,30-39,M,4
ASHBURN,WHI,40-49,M,2
ASHBURN,WHI,80+,M,1
ASHBURN,WWH,0-19,F,5
ASHBURN,WWH,0-19,M,19
ASHBURN,WWH,20-29,F,2
ASHBURN,WWH,20-29,M,29
ASHBURN,WWH,30-39,F,1
ASHBURN,WWH,30-39,M,9
ASHBURN,WWH,40-49,M,7
AUBURN GRESHAM,API,50-59,M,1
AUBURN GRESHAM,BLK,0-19,F,53
AUBURN GRESHAM,BLK,0-19,M,325
AUBURN GRESHAM,BLK,0-19,UNKNOWN,1
AUBURN GRESHAM,BLK,20-29,F,73
AUBURN GRESHAM,BLK,20-29,M,720
AUBURN GRESHAM,BLK,20-29,UNKNOWN,1
AUBURN GRESHAM,BLK,30-39,F,53
