COMMUNITY_AREA,RACE,AGE,SEX,Count,TOTAL_VICTIMS_BY_GROUP
ALBANY PARK,API,0-19,F,1,3
ALBANY PARK,API,0-19,M,1,10
ALBANY PARK,API,20-29,F,1,7
ALBANY PARK,API,20-29,M,3,67
ALBANY PARK,API,30-39,M,1,36
ALBANY PARK,API,50-59,M,1,19
ALBANY PARK,BLK,0-19,F,2,999
ALBANY PARK,BLK,0-19,M,11,7161
ALBANY PARK,BLK,20-29,F,4,1776
ALBANY PARK,BLK,20-29,M,18,13644
ALBANY PARK,BLK,30-39,M,12,6563
ALBANY PARK,BLK,40-49,M,2,2335
ALBANY PARK,BLK,50-59,M,1,1034
ALBANY PARK,BLK,60-69,F,1,91
ALBANY PARK,I,60-69,M,1,2
ALBANY PARK,UNKNOWN,0-19,M,1,74
ALBANY PARK,UNKNOWN,UNKNOWN,UNKNOWN,5,593
ALBANY PARK,WBH,0-19,M,2,54
ALBANY PARK,WBH,20-29,M,4,128
ALBANY PARK,WHI,0-19,M,4,108
ALBANY PARK,WHI,20-29,F,1,73
ALBANY PARK,WHI,20-29,M,10,340
ALBANY PARK,WHI,30-39,M,7,239
ALBANY PARK,WHI,40-49,M,3,122
ALBANY PARK,WHI,50-59,M,2,88
ALBANY PARK,WHI,70-79,M,1,8
ALBANY PARK,WWH,0-19,F,6,232
ALBANY PARK,WWH,0-19,M,37,1716
ALBANY PARK,WWH,20-29,F,10,381
ALBANY PARK,WWH,20-29,M,65,2923
ALBANY PARK,WWH,30-39,F,5,165
ALBANY PARK,WWH,30-39,M,16,1262
ALBANY PARK,WWH,40-49,F,2,65
ALBANY PARK,WWH,40-49,M,1,463
ALBANY PARK,WWH,50-59,M,1,161
ARCHER HEIGHTS,BLK,0-19,M,2,7161
ARCHER HEIGHTS,BLK,20-29,M,1,13644
ARCHER HEIGHTS,BLK,30-39,M,1,6563
ARCHER HEIGHTS,BLK,50-59,M,1,1034
ARCHER HEIGHTS,UNKNOWN,20-29,M,2,131
ARCHER HEIGHTS,WBH,50-59,M,1,7
ARCHER HEIGHTS,WHI,20-29,F,1,73
ARCHER HEIGHTS,WHI,20-29,M,3,340
ARCHER HEIGHTS,WHI,30-39,M,1,239
ARCHER HEIGHTS,WHI,40-49,M,1,122
ARCHER HEIGHTS,WHI,50-59,F,1,16
ARCHER HEIGHTS,WWH,0-19,F,3,232
ARCHER HEIGHTS,WWH,0-19,M,22,1716
ARCHER HEIGHTS,WWH,20-29,F,3,381
ARCHER HEIGHTS,WWH,20-29,M,42,2923
ARCHER HEIGHTS,WWH,30-39,M,16,1262
ARCHER HEIGHTS,WWH,40-49,M,3,463
ARCHER HEIGHTS,WWH,50-59,M,3,161
ARMOUR SQUARE,API,20-29,M,1,67
ARMOUR SQUARE,API,30-39,M,4,36
ARMOUR SQUARE,API,40-49,F,1,3
ARMOUR SQUARE,API,40-49,M,3,16
ARMOUR SQUARE,API,70-79,M,1,4
ARMOUR SQUARE,BLK,0-19,F,4,999
ARMOUR SQUARE,BLK,0-19,M,20,7161
ARMOUR SQUARE,BLK,20-29,F,2,1776
ARMOUR SQUARE,BLK,20-29,M,29,13644
ARMOUR SQUARE,BLK,30-39,F,5,862
ARMOUR SQUARE,BLK,30-39,M,20,6563
ARMOUR SQUARE,BLK,40-49,M,6,2335
ARMOUR SQUARE,BLK,50-59,F,1,230
ARMOUR SQUARE,BLK,50-59,M,2,1034
ARMOUR SQUARE,BLK,60-69,M,1,315
ARMOUR SQUARE,BLK,UNKNOWN,M,1,47
ARMOUR SQUARE,UNKNOWN,UNKNOWN,UNKNOWN,2,593
